campaign,year,unit,subunit,site,point_name,settlements,agriculture,habitat,dunes,observations_id,latitude,longitude,date,time,date_end,time_end,activity,orientation,type,body,tail,tail_type,SciName,stones_flipped,weather,temp_shade,temp_sun,site_description,obs_snout_len,obs_tail_len,obs_regentail_len,material,obs_notes,disturbance,sv,t,regen_t,substrate,survey_protocol,count_individuals,weather_desc,wind,sex_new,age,observation_type,Column
T2,2017,Planted Conifer Forests,Galilee,Manara,Manara KKL Plantings 2,NA,NA,NA,NA,,33.17319043,35.55108604,26/04/2017,13:51:00,,,moving,near,NA,NA,NA,original,Ophisops elegans,36,חם ויבש,27.8,38,גזם אורנים מתים טרם פונה. נבירות חזירי בר,NA,NA,NA,shrub,קרחת יער שביל אש עם לוטם שעיר,NA,NA,NA,NA,NA,scan,1,dry,NA,female,NA,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Manara,Manara KKL Plantings 3,NA,NA,NA,NA,,33.17772139,35.54866916,26/04/2017,14:46:00,,,shelter,under,NA,NA,NA,broken,Ablepharus rueppellii,40,חם ויבש,29,38,NA,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,NA,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Manara,Manara KKL Plantings 3,NA,NA,NA,NA,,33.17772139,35.54866916,26/04/2017,14:46:00,,,moving,near,NA,NA,NA,original,Ophisops elegans,40,חם ויבש,29,38,NA,NA,NA,NA,annuals,NA,NA,NA,NA,NA,NA,scan,1,dry,NA,male,NA,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Manara,Manara KKL Plantings 3,NA,NA,NA,NA,,33.17772139,35.54866916,26/04/2017,14:46:00,,,shelter,under,NA,NA,NA,original,Ablepharus rueppellii,40,חם ויבש,29,38,NA,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,NA,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 1,NA,NA,NA,NA,,33.09473501,35.56140831,26/04/2017,16:12:00,,,shelter,under,NA,NA,NA,regenerated,Ablepharus rueppellii,130,חם ויבש,29.6,42,הפרעת רעיה בשטח,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,NA,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 2,NA,NA,NA,NA,,33.09403412,35.56702842,26/04/2017,17:31:00,,,shelter,under,NA,NA,NA,original,Ablepharus rueppellii,100,חם ויבש. רוח קלה,27,29.1,נבירות חזירי בר,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,light,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 2,NA,NA,NA,NA,,33.09403412,35.56702842,26/04/2017,17:31:00,,,shelter,under,NA,NA,NA,regenerated,Ablepharus rueppellii,100,חם ויבש. רוח קלה,27,29.1,נבירות חזירי בר,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,light,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 3,NA,NA,NA,NA,,33.0985172,35.56487462,26/04/2017,16:59:00,,,shelter,under,NA,NA,NA,regenerated,Ablepharus rueppellii,80,חם ויבש. רוח קלה,26.3,31,NA,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,light,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 3,NA,NA,NA,NA,,33.0985172,35.56487462,26/04/2017,16:59:00,,,shelter,under,NA,NA,NA,regenerated,Ablepharus rueppellii,80,חם ויבש. רוח קלה,26.3,31,NA,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,light,NA,juvenile,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 3,NA,NA,NA,NA,,33.0985172,35.56487462,26/04/2017,16:59:00,,,shelter,under,NA,NA,NA,regenerated,Ablepharus rueppellii,80,חם ויבש. רוח קלה,26.3,31,NA,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,dry,light,NA,subadult,direct,NA
T2,2017,Planted Conifer Forests,Galilee,Ramot Naftali,Ramot Naftali KKL Plantings 3,NA,NA,NA,NA,,33.0985172,35.56487462,26/04/2017,16:59:00,,,moving,near,NA,NA,NA,NA,Ablepharus rueppellii,80,חם ויבש. רוח קלה,26.3,31,NA,NA,NA,NA,annuals,NA,NA,NA,NA,NA,NA,scan,1,dry,light,NA,adult,direct,NA
T2,2017,Planted Conifer Forests,Judean Highlands,Amatzia,Amatzia KKL Plantings 1,NA,NA,NA,NA,,31.51244719,34.89349107,29/04/2017,12:42:00,,,moving,near,NA,NA,NA,NA,Ophisops elegans,60,NA,29.9,61,NA,NA,NA,NA,shrub,NA,NA,NA,NA,NA,NA,scan,1,NA,NA,male,NA,direct,NA
T2,2017,Planted Conifer Forests,Judean Highlands,Amatzia,Amatzia KKL Plantings 1,NA,NA,NA,NA,,31.51244719,34.89349107,29/04/2017,12:42:00,,,slough,near,NA,NA,NA,NA,Hemorrhois nummifer,60,NA,29.9,61,NA,NA,NA,NA,annuals,NA,NA,NA,NA,NA,NA,scan,1,NA,NA,NA,NA,indirect,NA
T2,2017,Planted Conifer Forests,Judean Highlands,Amatzia,Amatzia KKL Plantings 2,NA,NA,NA,NA,,31.50751869,34.8949584,29/04/2017,13:12:00,,,slough,under,NA,NA,NA,NA,Chalcides ocellatus,110,NA,30.5,59,NA,NA,NA,NA,rock,NA,NA,NA,NA,NA,NA,scan,1,NA,NA,NA,NA,indirect,NA
