date,area,no,start,end,tot rocks,rocks Boaz,rocks #2,rocks #3,shadeT,sunT,longitude,latitude,weather,participants,comments
7/22/2014,Elyakim,1,10:32,10:52,55,55,0,0,33.5,52,,,,Boaz Shacham,
7/22/2014,Elyakim,2,11:15,11:35,40,40,0,0,30.5,58,,,,Boaz Shacham,
7/22/2014,Elyakim,3,11:58,12:18,50,50,0,0,32.5,53,,,,Boaz Shacham,
7/22/2014,Ramat HaShofet,1,13:04,13:25,30,30,0,0,34.2,55,,,,Boaz Shacham,
7/22/2014,Ramat HaShofet,3,13:45,14:05,15,15,0,0,,,,,,Boaz Shacham,
7/22/2014,Ramat HaShofet,2,14:25,14:45,15,15,0,0,35.8,56,,,,Boaz Shacham,
7/30/2014,Bat Shelomo,3,10:19,10:39,70,70,0,0,30.3,52,,,,Boaz Shacham,
7/30/2014,Bat Shelomo,2,10:53,11:13,95,95,0,0,29.4,47,,,,Boaz Shacham,
7/30/2014,Bat Shelomo,1,11:20,11:40,60,60,0,0,35,53,,,,Boaz Shacham,
7/30/2014,Ofer,1,12:40,13:00,30,30,0,0,36.7,64,,,,Boaz Shacham,
7/30/2014,Ofer,3,13:10,13:30,30,30,0,0,34.3,58,,,,Boaz Shacham,
7/30/2014,Ofer,2,13:44,14:04,25,25,0,0,35.9,67,,,,Boaz Shacham,
8/4/2014,Kabri,2,9:50,10:10,100,45,55,0,34,49,,,,Boaz Shacham & Yonatan Vronsky,
8/4/2014,Kabri,1,10:40,11:00,47,35,12,0,35.3,45,,,,Boaz Shacham & Yonatan Vronsky,
8/4/2014,Kabri,3,11:20,11:40,85,45,40,0,33.9,48,,,,Boaz Shacham & Yonatan Vronsky,
8/4/2014,Zuriel,3,12:55,13:15,55,55,0,0,29.6,,,,,Boaz Shacham,
8/4/2014,Zuriel,2,14:04,14:24,30,30,0,0,24.6,48,,,,Boaz Shacham,
8/4/2014,Zuriel,1,15:25,15:45,20,20,0,0,29.4,52,,,,Boaz Shacham,
8/5/2014,Manara,2,10:55,11:15,10,10,0,0,27.3,38.5,,,,"Boaz Shacham, Eran & Yonata Schnecke",
8/5/2014,Manara,3,11:50,12:10,25,20,5,0,32.4,39,,,,"Boaz Shacham, Eran & Yonata Schnecke",
8/5/2014,Manara,1,12:45,13:05,60,55,5,0,35.5,64,,,,"Boaz Shacham, Eran & Yonata Schnecke",
8/5/2014,Ramot Naftali,1,14:40,15:00,62,50,12,0,34.2,62,,,,"Boaz Shacham, Eran & Yonata Schnecke",
8/5/2014,Ramot Naftali,3,15:35,15:55,45,45,0,0,35.3,63,,,,"Boaz Shacham, Eran & Yonata Schnecke",
