date,area,type,no,start,end,tot rocks,rocks Boaz,rocks Itay,rocks #3,shadeT,sunT,longitude,latitude,weather,participants,comments
6/16/2014,Park Hazerim,loess,2,9:30,9:50,65,5,60,0,22.3,31,,,,Boaz Shacham & Itay Tesler,incl. 50 rocks nearby
6/16/2014,Park Hazerim,loess,5,10:00,10:20,50,35,15,0,33.5,45,,,,Boaz Shacham & Itay Tesler,incl. 25 rocks nearby
6/16/2014,Park Hazerim,loess,1,10:35,10:55,100,50,50,0,34.5,45,,,,Boaz Shacham & Itay Tesler,incl. 60 rocks nearby
6/16/2014,Park Hazerim,netiot,4,11:15,11:37,105,50,55,0,33.5,49,,,,Boaz Shacham & Itay Tesler,
6/16/2014,Park Hazerim,netiot,1,11:55,12:15,51,36,15,0,34.5,54,,,,Boaz Shacham & Itay Tesler,
6/16/2014,Park Hazerim,netiot,3,12:30,12:50,20,5,15,0,35.4,56,,,,Boaz Shacham & Itay Tesler,
6/16/2014,Eshel Hanasi,agri,1,13:37,13:57,50,20,30,0,39.4,53,,,,Boaz Shacham & Itay Tesler,
6/16/2014,Eshel Hanasi,agri,3,14:20,14:40,30,15,15,0,42.5,55,,,,Boaz Shacham & Itay Tesler,
6/16/2014,Eshel Hanasi,agri,2,14:50,15:10,0,0,0,0,39.2,59,,,,Boaz Shacham & Itay Tesler,
6/23/2014,Nahal Ashan,loess,1,10:00,10:20,85,40,45,0,29.3,43,,,,Boaz Shacham & Itay Tesler,
6/23/2014,Nahal Ashan,loess,2,10:42,11:05,125,50,75,0,34.5,50,,,,Boaz Shacham & Itay Tesler,
6/23/2014,Nahal Ashan,loess,3,11:20,11:40,260,120,140,0,34.2,47,,,,Boaz Shacham & Itay Tesler,
6/23/2014,Nahal Ashan,netiot,2,12:20,12:40,30,30,0,0,33.4,59,,,,Boaz Shacham & Itay Tesler,incl. 30 rocks nearby
6/23/2014,Nahal Ashan,netiot,1,13:00,13:20,40,40,0,0,31.5,56,,,,Boaz Shacham & Itay Tesler,
6/23/2014,Nahal Ashan,netiot,3,13:55,14:17,45,25,20,0,29.4,58,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Park Loess,loess,1,9:03,9:28,0,0,0,0,26.5,36.8,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Park Loess,loess,3,10:00,10:22,11,0,11,0,32.5,43.6,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Park Loess,loess,2,10:45,11:10,0,0,0,0,33.1,48.5,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Mishmar HaNegev,netiot,2,12:05,12:25,55,15,40,0,32.5,52.5,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Mishmar HaNegev,netiot,3,12:30,12:52,20,10,10,0,32.6,50,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Mishmar HaNegev,netiot,1,13:05,13:25,40,20,20,0,35.7,59,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Mishmar HaNegev,agri,3,13:53,14:13,54,30,24,0,37.6,53,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Givot Bar,agri,1,14:20,14:40,0,0,0,0,,58,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Givot Bar,agri,2,14:45,15:15,4,0,4,0,,54,,,,Boaz Shacham & Itay Tesler,half time sampled 100m S of plot
7/1/2014,Mishmar HaNegev,agri,2,15:20,15:40,20,20,0,0,39.2,52.5,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Mishmar HaNegev,agri,1,16:10,16:30,3,0,3,0,35.7,49,,,,Boaz Shacham & Itay Tesler,
7/1/2014,Givot Bar,agri,3,16:50,17:10,3,1,2,0,37.3,48.5,,,,Boaz Shacham & Itay Tesler,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
