OID,Unit_ID,Unit_Heb,Unit_Eng,Site_ID,Site_Heb,Proximity,Type,Plot,Specie_Heb,Specie_Eng,Observations,Date,Year,
,,,Coastal Sand,Ashdod,,Far,Shifting,1,שנונית חולות,Acanthodactylus scutellatus,2,9/30/2014,2014,AshdodFarShifting1
,,,Coastal Sand,Ashdod,,Far,Shifting,1,ישימונית מצויה,Stenodactylus sthenodactylus,8,9/30/2014,2014,AshdodFarShifting1
,,,Coastal Sand,Ashdod,,Far,Shifting,1,נחושית חולות,Sphenops sepsoides,2,9/30/2014,2014,AshdodFarShifting1
,,,Coastal Sand,Ashdod,,Far,Shifting,2,שנונית חולות,Acanthodactylus scutellatus,4,9/30/2014,2014,AshdodFarShifting2
,,,Coastal Sand,Ashdod,,Far,Shifting,2,ישימונית מצויה,Stenodactylus sthenodactylus,11,9/30/2014,2014,AshdodFarShifting2
,,,Coastal Sand,Ashdod,,Far,Shifting,2,נחושית חולות,Sphenops sepsoides,1,9/30/2014,2014,AshdodFarShifting2
,,,Coastal Sand,Ashdod,,Far,Shifting,3,שנונית חולות,Acanthodactylus scutellatus,2,9/30/2014,2014,AshdodFarShifting3
,,,Coastal Sand,Ashdod,,Far,Shifting,3,ישימונית מצויה,Stenodactylus sthenodactylus,5,9/30/2014,2014,AshdodFarShifting3
,,,Coastal Sand,Ashdod,,Far,Shifting,3,נחושית חולות,Sphenops sepsoides,2,9/30/2014,2014,AshdodFarShifting3
,,,Coastal Sand,Ashdod,,Far,Shifting,3,צפע מצוי,Daboia palaestinae,1,9/30/2014,2014,AshdodFarShifting3
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,1,שנונית חולות,Acanthodactylus scutellatus,4,9/30/2014,2014,AshdodFarSemi Shifting1
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,1,ישימונית מצויה,Stenodactylus sthenodactylus,17,9/30/2014,2014,AshdodFarSemi Shifting1
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,1,נחושית חולות,Sphenops sepsoides,5,9/30/2014,2014,AshdodFarSemi Shifting1
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,2,שנונית חולות,Acanthodactylus scutellatus,3,9/30/2014,2014,AshdodFarSemi Shifting2
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,2,ישימונית מצויה,Stenodactylus sthenodactylus,6,9/30/2014,2014,AshdodFarSemi Shifting2
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,2,נחושית חולות,Sphenops sepsoides,4,9/30/2014,2014,AshdodFarSemi Shifting2
,,,Coastal Sand,Ashdod,,Far,Semi Shifting,2,מטבעון מדבר,Spalerosophis diadema,1,9/30/2014,2014,AshdodFarSemi Shifting2
