"unit","campaign","year","site","point_name","mean.lat","mean.lon","settlements","agriculture","habitat","dunes","Date","ITime","SciName","heb_name","count_individuals","subunit","observations_id","latitude","longitude","date","time","date_end","time_end","activity","orientation","type","body","tail","tail_type","stones_flipped","weather","temp_shade","temp_sun","site_description","obs_snout_len","obs_tail_len","obs_regentail_len","material","obs_notes","disturbance","sv","t","regen_t","substrate","survey_protocol","weather_desc","wind","sex_new","age","observation_type","Column","conc_lat_lon","start_Time","Date.time","Comments","new_plot_id","survey_ID","Occurrence","dist.noon","dist.noon.radians","dist.noon.radians.2h","sin.dist.noon","cos.dist.noon","sin.dist.noon.2h","cos.dist.noon.2h","dist.21.June","dist.21.June.radians","dist.21.June.radians.2h","sin.dist.21.June","cos.dist.21.June","sin.dist.21.June.2h","cos.dist.21.June.2h","scaled.temp.shade","scaled.temp.sun","track_obs_id","grp_id","is.rare.in.unit"
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 1",31.75178674,34.6118426,"Far",NA,NA,"semi-shifting","2014-09-30","08:43:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.75178674,34.6118426,"30/09/2014","9:49:00","","","pitfall trap","in","pitfall trap",42,"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trap",NA,NA,NA,"subadult","direct",NA,"31.75178674_34.6118426","09:43:00","2014/09/30 08:43:00",NA,NA,"T0_Ashdod Far Semi-Shifting 1",NA,11820,0.8595746566072072,1.7191493132144144,0.7575649843840495,0.6527597524627226,0.9890158633619168,-0.14780941112961044,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 1",31.75178674,34.6118426,"Far",NA,NA,"semi-shifting","2014-09-30","08:43:00","Acanthodactylus scutellatus","שנונית חולות",3,NA,"",31.75178674,34.6118426,"30/09/2014","12:51:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.75178674_34.6118426","09:43:00","2014/09/30 08:43:00",NA,NA,"T0_Ashdod Far Semi-Shifting 1",NA,11820,0.8595746566072072,1.7191493132144144,0.7575649843840495,0.6527597524627226,0.9890158633619168,-0.14780941112961044,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 1",31.75178674,34.6118426,"Far",NA,NA,"semi-shifting","2014-09-30","08:43:00","Chalcides sepsoides","נחושית חולות",1,NA,"",31.75178674,34.6118426,"01/10/2014","9:43:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75178674_34.6118426","09:43:00","2014/09/30 08:43:00",NA,NA,"T0_Ashdod Far Semi-Shifting 1",NA,11820,0.8595746566072072,1.7191493132144144,0.7575649843840495,0.6527597524627226,0.9890158633619168,-0.14780941112961044,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,114,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 1",31.75178674,34.6118426,"Far",NA,NA,"semi-shifting","2014-09-30","08:43:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.75178674,34.6118426,"01/10/2014","9:43:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75178674_34.6118426","09:43:00","2014/09/30 08:43:00",NA,NA,"T0_Ashdod Far Semi-Shifting 1",NA,11820,0.8595746566072072,1.7191493132144144,0.7575649843840495,0.6527597524627226,0.9890158633619168,-0.14780941112961044,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,709,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 3",31.76023281,34.61866996999999,"Far",NA,NA,"semi-shifting","2014-09-30","09:09:00","Acanthodactylus scutellatus","שנונית חולות",3,NA,"",31.76023281,34.61866997,"30/09/2014","10:09:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.76023281_34.61866997","10:09:00","2014/09/30 09:09:00",NA,NA,"T0_Ashdod Far Semi-Shifting 3",NA,10260,0.7461282552275759,1.4922565104551517,0.6788007455329417,0.7343225094356856,0.996917333733128,0.078459095727845,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 3",31.76023281,34.61866996999999,"Far",NA,NA,"semi-shifting","2014-09-30","09:09:00","Acanthodactylus scutellatus","שנונית חולות",7,NA,"",31.76023281,34.61866997,"30/09/2014","10:14:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.76023281_34.61866997","10:09:00","2014/09/30 09:09:00",NA,NA,"T0_Ashdod Far Semi-Shifting 3",NA,10260,0.7461282552275759,1.4922565104551517,0.6788007455329417,0.7343225094356856,0.996917333733128,0.078459095727845,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 3",31.76023281,34.61866996999999,"Far",NA,NA,"semi-shifting","2014-09-30","09:09:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.76023281,34.61866997,"30/09/2014","10:20:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.76023281_34.61866997","10:09:00","2014/09/30 09:09:00",NA,NA,"T0_Ashdod Far Semi-Shifting 3",NA,10260,0.7461282552275759,1.4922565104551517,0.6788007455329417,0.7343225094356856,0.996917333733128,0.078459095727845,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 3",31.76023281,34.61866996999999,"Far",NA,NA,"semi-shifting","2014-09-30","09:09:00","Acanthodactylus scutellatus","שנונית חולות",4,NA,"",31.76023281,34.61866997,"30/09/2014","13:20:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.76023281_34.61866997","10:09:00","2014/09/30 09:09:00",NA,NA,"T0_Ashdod Far Semi-Shifting 3",NA,10260,0.7461282552275759,1.4922565104551517,0.6788007455329417,0.7343225094356856,0.996917333733128,0.078459095727845,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 3",31.76023281,34.61866996999999,"Far",NA,NA,"semi-shifting","2014-09-30","09:09:00","Chalcides sepsoides","נחושית חולות",1,NA,"",31.76023281,34.61866997,"01/10/2014","10:10:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.76023281_34.61866997","10:09:00","2014/09/30 09:09:00",NA,NA,"T0_Ashdod Far Semi-Shifting 3",NA,10260,0.7461282552275759,1.4922565104551517,0.6788007455329417,0.7343225094356856,0.996917333733128,0.078459095727845,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,116,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 3",31.76023281,34.61866996999999,"Far",NA,NA,"semi-shifting","2014-09-30","09:09:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.76023281,34.61866997,"01/10/2014","10:10:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.76023281_34.61866997","10:09:00","2014/09/30 09:09:00",NA,NA,"T0_Ashdod Far Semi-Shifting 3",NA,10260,0.7461282552275759,1.4922565104551517,0.6788007455329417,0.7343225094356856,0.996917333733128,0.078459095727845,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,711,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 2",31.75970432,34.63104228,"Far",NA,NA,"semi-shifting","2014-09-30","10:30:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.75970432,34.63104228,"30/09/2014","11:35:00","","","pitfall trap","in","pitfall trap",NA,NA,"regenerated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trap",NA,NA,NA,"subadult","direct",NA,"31.75970432_34.63104228","11:30:00","2014/09/30 10:30:00",NA,NA,"T0_Ashdod Far Semi-Shifting 2",NA,5400,0.3926990816987242,0.7853981633974484,0.3826834323650898,0.9238795325112867,0.7071067811865476,0.7071067811865475,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 2",31.75970432,34.63104228,"Far",NA,NA,"semi-shifting","2014-09-30","10:30:00","Acanthodactylus scutellatus","שנונית חולות",2,NA,"",31.75970432,34.63104228,"30/09/2014","11:39:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.75970432_34.63104228","11:30:00","2014/09/30 10:30:00",NA,NA,"T0_Ashdod Far Semi-Shifting 2",NA,5400,0.3926990816987242,0.7853981633974484,0.3826834323650898,0.9238795325112867,0.7071067811865476,0.7071067811865475,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 2",31.75970432,34.63104228,"Far",NA,NA,"semi-shifting","2014-09-30","10:30:00","Chalcides sepsoides","נחושית חולות",1,NA,"",31.75970432,34.63104228,"01/10/2014","11:30:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75970432_34.63104228","11:30:00","2014/09/30 10:30:00",NA,NA,"T0_Ashdod Far Semi-Shifting 2",NA,5400,0.3926990816987242,0.7853981633974484,0.3826834323650898,0.9238795325112867,0.7071067811865476,0.7071067811865475,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,115,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 2",31.75970432,34.63104228,"Far",NA,NA,"semi-shifting","2014-09-30","10:30:00","Spalerosophis diadema","מטבעון מדבר",1,NA,"",31.75970432,34.63104228,"01/10/2014","11:30:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75970432_34.63104228","11:30:00","2014/09/30 10:30:00",NA,NA,"T0_Ashdod Far Semi-Shifting 2",NA,5400,0.3926990816987242,0.7853981633974484,0.3826834323650898,0.9238795325112867,0.7071067811865476,0.7071067811865475,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,590,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 2",31.75970432,34.63104228,"Far",NA,NA,"semi-shifting","2014-09-30","10:30:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.75970432,34.63104228,"01/10/2014","11:30:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75970432_34.63104228","11:30:00","2014/09/30 10:30:00",NA,NA,"T0_Ashdod Far Semi-Shifting 2",NA,5400,0.3926990816987242,0.7853981633974484,0.3826834323650898,0.9238795325112867,0.7071067811865476,0.7071067811865475,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,710,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Semi-Shifting 2",31.75970432,34.63104228,"Far",NA,NA,"semi-shifting","2014-09-30","10:30:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.75970432,34.63104228,"30/09/2014","14:35:00","","","remains","under","plastic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,"male",NA,"indirect",NA,"31.75970432_34.63104228","11:30:00","2014/09/30 10:30:00",NA,NA,"T0_Ashdod Far Semi-Shifting 2",NA,5400,0.3926990816987242,0.7853981633974484,0.3826834323650898,0.9238795325112867,0.7071067811865476,0.7071067811865475,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 1",31.75771835,34.62450841,"Far",NA,NA,"shifting","2014-09-30","09:30:00","Acanthodactylus scutellatus","שנונית חולות",2,NA,"",31.75771835,34.62450841,"30/09/2014","10:34:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.75771835_34.62450841","10:30:00","2014/09/30 09:30:00",NA,NA,"T0_Ashdod Far Shifting 1",NA,9000,0.6544984694978736,1.3089969389957472,0.6087614290087207,0.7933533402912352,0.9659258262890683,0.25881904510252074,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 1",31.75771835,34.62450841,"Far",NA,NA,"shifting","2014-09-30","09:30:00","Chalcides sepsoides","נחושית חולות",1,NA,"",31.75771835,34.62450841,"01/10/2014","10:30:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75771835_34.62450841","10:30:00","2014/09/30 09:30:00",NA,NA,"T0_Ashdod Far Shifting 1",NA,9000,0.6544984694978736,1.3089969389957472,0.6087614290087207,0.7933533402912352,0.9659258262890683,0.25881904510252074,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,117,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 1",31.75771835,34.62450841,"Far",NA,NA,"shifting","2014-09-30","09:30:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.75771835,34.62450841,"01/10/2014","10:30:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75771835_34.62450841","10:30:00","2014/09/30 09:30:00",NA,NA,"T0_Ashdod Far Shifting 1",NA,9000,0.6544984694978736,1.3089969389957472,0.6087614290087207,0.7933533402912352,0.9659258262890683,0.25881904510252074,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,712,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 1",31.75771835,34.62450841,"Far",NA,NA,"shifting","2014-09-30","09:30:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.75771835,34.62450841,"30/09/2014","10:41:00","","","eggs","on","jeep track",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,"male",NA,"indirect",NA,"31.75771835_34.62450841","10:30:00","2014/09/30 09:30:00",NA,NA,"T0_Ashdod Far Shifting 1",NA,9000,0.6544984694978736,1.3089969389957472,0.6087614290087207,0.7933533402912352,0.9659258262890683,0.25881904510252074,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,14,FALSE
