"unit","year","campaign","subunit","site","point_name","survey_ID","Date","sin.dist.21.June","cos.dist.21.June","sin.dist.noon","cos.dist.noon","settlements","agriculture","dunes","habitat","mean.lon","mean.lat","NA","Ablepharus rueppellii","Acanthodactylus aegyptius","Acanthodactylus beershebensis","Acanthodactylus boskianus","Acanthodactylus scutellatus","Cerastes cerastes","Cerastes vipera","Chalcides guentheri","Chalcides ocellatus","Chalcides sepsoides","Chamaeleo chamaeleon","Daboia palaestinae","Dolichophis jugularis","Eirenis coronelloides","Eirenis decemlineatus","Eirenis rothii","Eryx jaculus","Eumeces schneiderii","Hemidactylus turcicus","Hemorrhois nummifer","Heremites vittatus","Laudakia vulgaris","Letheobia simoni","Lytorhynchus diadema","Macroprotodon cucullatus","Malpolon insignitus","Mediodactylus orientalis","Mesalina bahaeldini","Mesalina olivieri","Micrelaps muelleri","Myriopholis macrorhyncha","Ophiomorus latastii","Ophisops elegans","Phoenicolacerta laevis","Platyceps collaris","Platyceps rogersi","Psammophis schokari","Pseudopus apodus","Ptyodactylus guttatus","Ptyodactylus puiseuxi","Rhynchocalamus melanocephalus","Scincus scincus","Spalerosophis diadema","Stenodactylus petrii","Stenodactylus sthenodactylus","Telescopus fallax","Testudo graeca","Testudo kleinmanni","Trapelus agnetae","Trapelus savignii","Varanus griseus","Xerotyphlops syriacus"
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Far Semi-Shifting 1","T0_Ashdod Far Semi-Shifting 1","2014-09-30",0.9859481499638304,-0.16705162550211924,0.7575649843840495,0.6527597524627226,"Far",NA,"semi-shifting",NA,34.6118426,31.75178674,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Far Semi-Shifting 2","T0_Ashdod Far Semi-Shifting 2","2014-09-30",0.9859481499638304,-0.16705162550211924,0.3826834323650898,0.9238795325112867,"Far",NA,"semi-shifting",NA,34.63104228,31.75970432,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Far Semi-Shifting 3","T0_Ashdod Far Semi-Shifting 3","2014-09-30",0.9859481499638304,-0.16705162550211924,0.6788007455329417,0.7343225094356856,"Far",NA,"semi-shifting",NA,34.61866996999999,31.76023281,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Far Shifting 1","T0_Ashdod Far Shifting 1","2014-09-30",0.9859481499638304,-0.16705162550211924,0.6087614290087207,0.7933533402912352,"Far",NA,"shifting",NA,34.62450841,31.75771835,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Far Shifting 2","T0_Ashdod Far Shifting 2","2014-09-30",0.9859481499638304,-0.16705162550211924,0.5482932295199138,0.8362861558477596,"Far",NA,"shifting",NA,34.62450973,31.75974652,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Far Shifting 3","T0_Ashdod Far Shifting 3","2014-09-30",0.9859481499638304,-0.16705162550211924,0.5037739770455263,0.8638355052043957,"Far",NA,"shifting",NA,34.6266927,31.7589917,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Near Semi-Shifting 1","T0_Ashdod Near Semi-Shifting 1","2014-10-01",0.9829265519799822,-0.18399835165768005,0.9670459389139431,0.2546019482055276,"Near",NA,"semi-shifting",NA,34.62928404,31.74525482,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Near Semi-Shifting 2","T0_Ashdod Near Semi-Shifting 2","2014-10-01",0.9829265519799822,-0.18399835165768005,0.9876883405951378,0.15643446504023092,"Near",NA,"semi-shifting",NA,34.62045073,31.76645591,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashdod","Ashdod Near Semi-Shifting 3","T0_Ashdod Near Semi-Shifting 3","2014-10-01",0.9829265519799822,-0.18399835165768005,0.9981347984218669,0.06104853953485691,"Near",NA,"semi-shifting",NA,34.63014823,31.76380334,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Far Semi-Shifting 1","T0_Ashkelon Far Semi-Shifting 1","2014-10-05",0.9679377830240642,-0.25119006388481935,0.6788007455329417,0.7343225094356856,"Far",NA,"semi-shifting",NA,34.60645652,31.72010441,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
