"habitat","year","mean.predicted.abnd","mean.predicted.abnd.se"
"bedouin agriculture",2014,11.482973154731189,3.4007022051342837
"bedouin agriculture",2014.06,11.31455451579779,3.3275475118500952
"bedouin agriculture",2014.12,11.148606041825847,3.2563634994255746
"bedouin agriculture",2014.18,10.985091503363094,3.1871113159679783
"bedouin agriculture",2014.24,10.823975202329763,3.11975262725509
"bedouin agriculture",2014.3,10.665221964221377,3.054249595450354
"bedouin agriculture",2014.36,10.508797130431994,2.9905648582083866
"bedouin agriculture",2014.42,10.354666550686451,2.928661508230687
"bedouin agriculture",2014.48,10.202796575587076,2.868503073343143
"bedouin agriculture",2014.54,10.05315404926394,2.810053497164317
"bedouin agriculture",2014.6,9.905706302138686,2.7532771204456865
"bedouin agriculture",2014.66,9.760421143791076,2.698138663159628
"bedouin agriculture",2014.72,9.617266855933424,2.6446032074196895
"bedouin agriculture",2014.78,9.476212185482657,2.5926361813132446
"bedouin agriculture",2014.84,9.337226337739425,2.542203343734686
"bedouin agriculture",2014.9,9.20027896966401,2.4932707702992554
"bedouin agriculture",2014.96,9.065340183253975,2.4458048404217174
"bedouin agriculture",2015.02,8.93238051901381,2.3997722256357954
"bedouin agriculture",2015.08,8.801370949525467,2.3551398792326244
"bedouin agriculture",2015.14,8.67228287311018,2.311875027284349
"bedouin agriculture",2015.2,8.54508810758616,2.269945161117004
"bedouin agriculture",2015.26,8.419758884112996,2.2293180312835603
"bedouin agriculture",2015.32,8.2962678411312,2.189961643084463
"bedouin agriculture",2015.38,8.174588018387746,2.151844253665845
"bedouin agriculture",2015.44,8.05469285105202,2.11493437071803
"bedouin agriculture",2015.5,7.936556163913477,2.0792007527795118
"bedouin agriculture",2015.56,7.820152165668992,2.0446124111427184
"bedouin agriculture",2015.62,7.7054554432917035,2.0111386133381273
"bedouin agriculture",2015.68,7.5924409564824815,1.978748888160954
"bedouin agriculture",2015.74,7.4810840322048895,1.947413032189206
"bedouin agriculture",2015.8,7.371360359296082,1.9171011177241788
"bedouin agriculture",2015.86,7.263245983160947,1.88778350207377
"bedouin agriculture",2015.92,7.156717300541581,1.8594308380804032
"bedouin agriculture",2015.98,7.0517510543658934,1.832014085785272
"bedouin agriculture",2016.04,6.948324328667755,1.8055045251053008
"bedouin agriculture",2016.1,6.846414543585663,1.7798737693923259
"bedouin agriculture",2016.16,6.7459994504323895,1.7550937797310533
"bedouin agriculture",2016.22,6.647057126839203,1.7311368798278572
"bedouin agriculture",2016.28,6.54956597196756,1.7079757713344252
"bedouin agriculture",2016.34,6.453504701794791,1.685583549450323
"bedouin agriculture",2016.4,6.358852344466685,1.663933718643918
"bedouin agriculture",2016.46,6.265588235720399,1.6430002083345951
"bedouin agriculture",2016.52,6.17369201437093,1.6227573883796542
"bedouin agriculture",2016.58,6.083143617867369,1.6031800842173554
"bedouin agriculture",2016.64,5.993923277912176,1.5842435915211888
"bedouin agriculture",2016.7,5.906011516146777,1.5659236902313554
"bedouin agriculture",2016.76,5.819389139897068,1.5481966578372066
"bedouin agriculture",2016.82,5.734037237984672,1.5310392817982932
"bedouin agriculture",2016.88,5.64993717659765,1.5144288710013663
"bedouin agriculture",2016.94,5.567070595223664,1.4983432661657266
"bedouin agriculture",2017,5.4854194026396765,1.482760849121126
"bedouin agriculture",2017.06,5.404965772963568,1.4676605508986262
"bedouin agriculture",2017.12,5.325692141762133,1.4530218585865975
"bedouin agriculture",2017.18,5.247581202216159,1.4388248209191536
"bedouin agriculture",2017.24,5.170615901343219,1.4250500525776675
"bedouin agriculture",2017.3,5.094779436272949,1.4116787371978863
"bedouin agriculture",2017.36,5.020055250579854,1.3986926290891672
"bedouin agriculture",2017.42,4.946427030668188,1.386074053681804
"bedouin agriculture",2017.48,4.873878702211522,1.3738059067302055
"bedouin agriculture",2017.54,4.802394426641762,1.3618716523077
"bedouin agriculture",2017.6,4.7319585976924365,1.350255319638674
"bedouin agriculture",2017.66,4.6625558379910235,1.3389414988192145
"bedouin agriculture",2017.72,4.594170995702867,1.327915335484759
"bedouin agriculture",2017.78,4.526789141221671,1.3171625244869238
"bedouin agriculture",2017.84,4.46039556391117,1.306669302647151
"bedouin agriculture",2017.9,4.394975768893031,1.2964224406560099
"bedouin agriculture",2017.96,4.330515473883346,1.2864092341901878
"bedouin agriculture",2018.02,4.2670006060730925,1.2766174943189554
"bedouin agriculture",2018.08,4.20441729905676,1.2670355372735376
"bedouin agriculture",2018.14,4.14275188980462,1.2576521736508848
"bedouin agriculture",2018.2,4.081990915680754,1.2484566971231466
"bedouin agriculture",2018.26,4.022121111502539,1.2394388727214505
"bedouin agriculture",2018.32,3.9631294066455567,1.2305889247615518
"bedouin agriculture",2018.38,3.905002922189595,1.2218975244750414
"bedouin agriculture",2018.44,3.8477289681078397,1.213355777407784
"bedouin agriculture",2018.5,3.7912950404950805,1.204955210643089
"bedouin agriculture",2018.56,3.7356888188387973,1.1966877599048988
"bedouin agriculture",2018.62,3.6808981633291373,1.1885457565915594
"bedouin agriculture",2018.68,3.6269111122083855,1.180521914787789
"bedouin agriculture",2018.74,3.5737158791603254,1.172609318298796
"bedouin agriculture",2018.8,3.521300850735836,1.1648014077462399
"bedouin agriculture",2018.86,3.469654583818319,1.1570919677632179
"bedouin agriculture",2018.92,3.4187658031250394,1.1494751143208741
"bedouin agriculture",2018.98,3.3686233987463323,1.1419452822166658
"bedouin agriculture",2019.04,3.3192164237189363,1.1344972127502209
"bedouin agriculture",2019.1,3.270534091636864,1.1271259416106805
"bedouin agriculture",2019.16,3.222565774296168,1.119826786995378
"bedouin agriculture",2019.22,3.1753009993753367,1.1125953379777316
"bedouin agriculture",2019.28,3.128729448147916,1.1054274431388091
"bedouin agriculture",2019.34,3.0828409532304812,1.098319199475583
"bedouin agriculture",2019.4,3.0376254963625664,1.0912669415955967
"bedouin agriculture",2019.46,2.993073206220182,1.0842672312064463
"bedouin agriculture",2019.52,2.9491743562597135,1.0773168469057999
"bedouin agriculture",2019.58,2.9059193625951245,1.070412774276836
"bedouin agriculture",2019.64,2.8632987819052986,1.063552196291464
"bedouin agriculture",2019.7,2.821303309373042,1.0567324840229229
"bedouin agriculture",2019.76,2.779923776652709,1.0499511876673513
"bedouin agriculture",2019.82,2.739151149869239,1.0432060278736603
"bedouin agriculture",2019.88,2.6989765276455953,1.036494887379078
"bedouin agriculture",2019.94,2.6593911391600376,1.0298158029475273
"bedouin agriculture",2020,2.6203863422303906,1.0231669576064726
"kkl plantings",2014,4.3114687576689175,1.5038718921530434
"kkl plantings",2014.06,4.323912810495426,1.5012209593447463
"kkl plantings",2014.12,4.3363927801891196,1.4987125381829365
"kkl plantings",2014.18,4.348908770415742,1.4963503149932398
"kkl plantings",2014.24,4.361460885140091,1.4941379934704524
"kkl plantings",2014.3,4.374049228627188,1.4920792915005172
"kkl plantings",2014.36,4.386673905442942,1.490177937842749
"kkl plantings",2014.42,4.399335020455104,1.4884376686767309
"kkl plantings",2014.48,4.4120326788339765,1.4868622240195228
"kkl plantings",2014.54,4.424766986053533,1.4854553440194418
"kkl plantings",2014.6,4.437538047892144,1.484220765134017
"kkl plantings",2014.66,4.4503459704335295,1.4831622162002958
"kkl plantings",2014.72,4.463190860067439,1.4822834144068913
"kkl plantings",2014.78,4.47607282349085,1.4815880611779824
"kkl plantings",2014.84,4.488991967708637,1.4810798379804584
"kkl plantings",2014.9,4.501948400034579,1.4807624020662955
"kkl plantings",2014.96,4.514942228092032,1.4806393821630406
"kkl plantings",2015.02,4.527973559815141,1.4807143741261848
"kkl plantings",2015.08,4.541042503449521,1.4809909365678768
"kkl plantings",2015.14,4.554149167553267,1.4814725864771416
"kkl plantings",2015.2,4.567293660997646,1.482162794847308
"kkl plantings",2015.26,4.580476092968315,1.4830649823269633
