"unit","Species","heb_name","condition1","condition2"
"Coastal Plain Sands","Acanthodactylus aegyptius","שנונית מצרית",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Chamaeleo chamaeleon","זיקית",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Laudakia vulgaris","חרדון מצוי",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Malpolon insignitus","תלום-קשקשים מצוי",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Mediodactylus orientalis","שממית עצים",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Platyceps collaris","זעמן זיתני",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Varanus griseus","כוח אפור",NA,"Fewer than 10 individuals overall"
"Coastal Plain Sands","Xerotyphlops syriacus","נחשיל מצוי",NA,"Fewer than 10 individuals overall"
"Inland Sands","Chalcides ocellatus","נחושית עינונית",NA,"Fewer than 10 individuals overall"
"Inland Sands","Macroprotodon cucullatus","נחש כיפה",NA,"Fewer than 10 individuals overall"
"Inland Sands","Platyceps rogersi","זעמן אוכפים",NA,"Fewer than 10 individuals overall"
"Inland Sands","Psammophis schokari","ארבע-קו מובהק",NA,"Fewer than 10 individuals overall"
"Inland Sands","Testudo kleinmanni","צב-יבשה מדברי",NA,"Fewer than 10 individuals overall"
"Inland Sands","Trapelus savignii","חרדון חולות",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Acanthodactylus boskianus","שנונית נחלים",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Chalcides sepsoides","נחושית חולות",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Dolichophis jugularis","זעמן שחור",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Eirenis coronelloides","שלוון אזורים",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Eirenis rothii","שלוון טלוא-ראש",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Eryx jaculus","חנק",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Eumeces schneiderii","חומט מנומר",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Malpolon insignitus","תלום-קשקשים מצוי",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Mesalina olivieri","מדברית פסים",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Platyceps rogersi","זעמן אוכפים",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Psammophis schokari","ארבע-קו מובהק",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Ptyodactylus guttatus","מניפנית מצויה",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Stenodactylus sthenodactylus","ישימונית מצויה",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Trapelus agnetae","חרדון מדבר",NA,"Fewer than 10 individuals overall"
"Loess Covered Areas in the Northern Negev","Varanus griseus","כוח אפור",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Chamaeleo chamaeleon","זיקית",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Dolichophis jugularis","זעמן שחור",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Eirenis decemlineatus","שלוון קוים",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Eirenis rothii","שלוון טלוא-ראש",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Eryx jaculus","חנק",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Hemorrhois nummifer","זעמן מטבעות",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Letheobia simoni","נחשיל חד-ראש",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Malpolon insignitus","תלום-קשקשים מצוי",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Micrelaps muelleri","מחרוזן דוגוני",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Myriopholis macrorhyncha","נימון דק",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Ophiomorus latastii","חומט נקוד",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Platyceps collaris","זעמן זיתני",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Psammophis schokari","ארבע-קו מובהק",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Rhynchocalamus melanocephalus","שחור ראש",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Stenodactylus sthenodactylus","ישימונית מצויה",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Telescopus fallax","עין-חתול חברבר",NA,"Fewer than 10 individuals overall"
"Mediterranean-Desert Transition Zone","Xerotyphlops syriacus","נחשיל מצוי",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Chalcides guentheri","נחושית נחשונית",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Chamaeleo chamaeleon","זיקית",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Dolichophis jugularis","זעמן שחור",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Eirenis rothii","שלוון טלוא-ראש",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Eumeces schneiderii","חומט מנומר",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Hemorrhois nummifer","זעמן מטבעות",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Malpolon insignitus","תלום-קשקשים מצוי",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Platyceps collaris","זעמן זיתני",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Psammophis schokari","ארבע-קו מובהק",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Pseudopus apodus","קמטן החורש",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Ptyodactylus guttatus","מניפנית מצויה",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Ptyodactylus puiseuxi","מניפנית גלילית",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Rhynchocalamus melanocephalus","שחור ראש",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Telescopus fallax","עין-חתול חברבר",NA,"Fewer than 10 individuals overall"
"Planted Conifer Forests","Testudo graeca","צב-יבשה מצוי",NA,"Fewer than 10 individuals overall"
