"heb_name","Coastal Plain Sands_Ashdod","Coastal Plain Sands_Ashkelon","Coastal Plain Sands_Caesarea","Coastal Plain Sands_Netiv Haasara","Coastal Plain Sands_Zikim","Inland Sands_Beer Milka","Inland Sands_Secher","Inland Sands_Shunra East","Loess Covered Areas in the Northern Negev_Eshel Hanasi","Loess Covered Areas in the Northern Negev_Givot Bar","Loess Covered Areas in the Northern Negev_Goral","Loess Covered Areas in the Northern Negev_Mishmar Hanegev","Loess Covered Areas in the Northern Negev_Nahal Ashan","Loess Covered Areas in the Northern Negev_Park Loess","Loess Covered Areas in the Northern Negev_Sayeret Shaked","Mediterranean-Desert Transition Zone_Beit Yatir","Mediterranean-Desert Transition Zone_Har Amasa","Mediterranean-Desert Transition Zone_Lahav","Mediterranean-Desert Transition Zone_Lehavim","Mediterranean-Desert Transition Zone_Mirsham","Planted Conifer Forests_Aderet","Planted Conifer Forests_Amatzia","Planted Conifer Forests_Bat Shlomo","Planted Conifer Forests_Eitanim","Planted Conifer Forests_Elyakim","Planted Conifer Forests_Eshtaol","Planted Conifer Forests_Givat Yeshayahu","Planted Conifer Forests_Kabri","Planted Conifer Forests_Kerem Maharal","Planted Conifer Forests_Manara","Planted Conifer Forests_Meron","Planted Conifer Forests_Ofer","Planted Conifer Forests_Ramat Hashofet","Planted Conifer Forests_Ramot Naftali","Planted Conifer Forests_Zuriel"
"ארבע-קו מובהק",13,15,7,0,15,2,4,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"זיקית",1,1,3,0,0,4,4,2,0,0,0,5,6,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,0,1,0,0,1,0
"זעמן אוכפים",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"זעמן זיתני",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0
"זעמן מטבעות",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"זעמן שחור",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"חומט גמד",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,1,3,37,29,2,45,7,4,11,31,5,2,6,11,14,18
"חומט מנומר",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,8,2,5,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"חומט נקוד",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"חומט פסים",0,0,0,0,0,0,0,0,2,0,2,7,0,1,24,11,12,13,8,32,2,13,0,0,1,1,0,1,1,0,0,1,0,5,0
