"unit","site","SciName","heb_name","total.abundance","no.of.surveys.found"
"Coastal Plain Sands","Ashdod","Acanthodactylus boskianus","שנונית נחלים",1,1
"Coastal Plain Sands","Ashdod","Acanthodactylus scutellatus","שנונית חולות",145,39
"Coastal Plain Sands","Ashdod","Chalcides ocellatus","נחושית עינונית",7,7
"Coastal Plain Sands","Ashdod","Chalcides sepsoides","נחושית חולות",56,45
"Coastal Plain Sands","Ashdod","Chamaeleo chamaeleon","זיקית",1,1
"Coastal Plain Sands","Ashdod","Daboia palaestinae","צפע מצוי",14,14
"Coastal Plain Sands","Ashdod","Eryx jaculus","חנק",2,2
"Coastal Plain Sands","Ashdod","Lytorhynchus diadema","נחש חולות",12,12
"Coastal Plain Sands","Ashdod","Macroprotodon cucullatus","נחש כיפה",2,2
"Coastal Plain Sands","Ashdod","Mediodactylus orientalis","שממית עצים",3,2
"Coastal Plain Sands","Ashdod","Platyceps collaris","זעמן זיתני",1,1
"Coastal Plain Sands","Ashdod","Psammophis schokari","ארבע-קו מובהק",13,12
"Coastal Plain Sands","Ashdod","Spalerosophis diadema","מטבעון מדבר",17,16
"Coastal Plain Sands","Ashdod","Stenodactylus sthenodactylus","ישימונית מצויה",52,45
"Coastal Plain Sands","Ashdod","Testudo graeca","צב-יבשה מצוי",1,1
"Coastal Plain Sands","Ashdod","Varanus griseus","כוח אפור",3,2
"Coastal Plain Sands","Ashdod","Xerotyphlops syriacus","נחשיל מצוי",1,1
"Coastal Plain Sands","Ashkelon","Acanthodactylus boskianus","שנונית נחלים",6,4
"Coastal Plain Sands","Ashkelon","Acanthodactylus scutellatus","שנונית חולות",81,29
"Coastal Plain Sands","Ashkelon","Chalcides ocellatus","נחושית עינונית",25,23
"Coastal Plain Sands","Ashkelon","Chalcides sepsoides","נחושית חולות",49,45
"Coastal Plain Sands","Ashkelon","Chamaeleo chamaeleon","זיקית",1,1
"Coastal Plain Sands","Ashkelon","Daboia palaestinae","צפע מצוי",10,10
"Coastal Plain Sands","Ashkelon","Eryx jaculus","חנק",3,3
"Coastal Plain Sands","Ashkelon","Lytorhynchus diadema","נחש חולות",22,22
"Coastal Plain Sands","Ashkelon","Macroprotodon cucullatus","נחש כיפה",5,5
"Coastal Plain Sands","Ashkelon","Malpolon insignitus","תלום-קשקשים מצוי",1,1
"Coastal Plain Sands","Ashkelon","Mediodactylus orientalis","שממית עצים",1,1
"Coastal Plain Sands","Ashkelon","Psammophis schokari","ארבע-קו מובהק",15,13
"Coastal Plain Sands","Ashkelon","Spalerosophis diadema","מטבעון מדבר",21,20
"Coastal Plain Sands","Ashkelon","Stenodactylus sthenodactylus","ישימונית מצויה",45,44
"Coastal Plain Sands","Ashkelon","Testudo graeca","צב-יבשה מצוי",2,2
"Coastal Plain Sands","Ashkelon","Xerotyphlops syriacus","נחשיל מצוי",3,3
"Coastal Plain Sands","Caesarea","Acanthodactylus boskianus","שנונית נחלים",61,30
"Coastal Plain Sands","Caesarea","Chalcides ocellatus","נחושית עינונית",19,17
"Coastal Plain Sands","Caesarea","Chalcides sepsoides","נחושית חולות",32,31
"Coastal Plain Sands","Caesarea","Chamaeleo chamaeleon","זיקית",3,3
"Coastal Plain Sands","Caesarea","Daboia palaestinae","צפע מצוי",15,15
"Coastal Plain Sands","Caesarea","Eryx jaculus","חנק",5,5
"Coastal Plain Sands","Caesarea","Malpolon insignitus","תלום-קשקשים מצוי",1,1
"Coastal Plain Sands","Caesarea","Psammophis schokari","ארבע-קו מובהק",7,6
"Coastal Plain Sands","Caesarea","Stenodactylus sthenodactylus","ישימונית מצויה",38,35
"Coastal Plain Sands","Caesarea","Testudo graeca","צב-יבשה מצוי",3,3
"Coastal Plain Sands","Netiv Haasara","Acanthodactylus aegyptius","שנונית מצרית",5,4
"Coastal Plain Sands","Netiv Haasara","Acanthodactylus scutellatus","שנונית חולות",4,4
"Coastal Plain Sands","Netiv Haasara","Chalcides ocellatus","נחושית עינונית",3,3
"Coastal Plain Sands","Netiv Haasara","Chalcides sepsoides","נחושית חולות",7,7
"Coastal Plain Sands","Netiv Haasara","Daboia palaestinae","צפע מצוי",1,1
"Coastal Plain Sands","Netiv Haasara","Lytorhynchus diadema","נחש חולות",1,1
"Coastal Plain Sands","Netiv Haasara","Stenodactylus sthenodactylus","ישימונית מצויה",9,9
"Coastal Plain Sands","Netiv Haasara","Testudo graeca","צב-יבשה מצוי",1,1
"Coastal Plain Sands","Zikim","Acanthodactylus boskianus","שנונית נחלים",3,3
"Coastal Plain Sands","Zikim","Acanthodactylus scutellatus","שנונית חולות",86,26
"Coastal Plain Sands","Zikim","Chalcides ocellatus","נחושית עינונית",14,13
"Coastal Plain Sands","Zikim","Chalcides sepsoides","נחושית חולות",43,34
"Coastal Plain Sands","Zikim","Daboia palaestinae","צפע מצוי",7,7
"Coastal Plain Sands","Zikim","Eryx jaculus","חנק",3,3
"Coastal Plain Sands","Zikim","Laudakia vulgaris","חרדון מצוי",2,2
"Coastal Plain Sands","Zikim","Lytorhynchus diadema","נחש חולות",12,11
"Coastal Plain Sands","Zikim","Macroprotodon cucullatus","נחש כיפה",7,6
"Coastal Plain Sands","Zikim","Psammophis schokari","ארבע-קו מובהק",15,13
"Coastal Plain Sands","Zikim","Spalerosophis diadema","מטבעון מדבר",11,11
"Coastal Plain Sands","Zikim","Stenodactylus sthenodactylus","ישימונית מצויה",36,33
"Coastal Plain Sands","Zikim","Testudo graeca","צב-יבשה מצוי",4,4
"Coastal Plain Sands","Zikim","Xerotyphlops syriacus","נחשיל מצוי",3,3
"Inland Sands","Beer Milka","Acanthodactylus aegyptius","שנונית מצרית",48,17
"Inland Sands","Beer Milka","Acanthodactylus scutellatus","שנונית חולות",98,28
"Inland Sands","Beer Milka","Cerastes cerastes","עכן חרטומים",8,8
"Inland Sands","Beer Milka","Cerastes vipera","עכן קטן",16,14
"Inland Sands","Beer Milka","Chalcides ocellatus","נחושית עינונית",5,5
"Inland Sands","Beer Milka","Chalcides sepsoides","נחושית חולות",42,35
"Inland Sands","Beer Milka","Chamaeleo chamaeleon","זיקית",4,4
"Inland Sands","Beer Milka","Lytorhynchus diadema","נחש חולות",21,21
"Inland Sands","Beer Milka","Macroprotodon cucullatus","נחש כיפה",3,3
"Inland Sands","Beer Milka","Platyceps rogersi","זעמן אוכפים",1,1
"Inland Sands","Beer Milka","Psammophis schokari","ארבע-קו מובהק",2,2
"Inland Sands","Beer Milka","Scincus scincus","חומט רפואי",18,16
"Inland Sands","Beer Milka","Spalerosophis diadema","מטבעון מדבר",3,3
"Inland Sands","Beer Milka","Stenodactylus petrii","ישימונית רביבים",36,34
"Inland Sands","Beer Milka","Trapelus savignii","חרדון חולות",4,4
"Inland Sands","Beer Milka","Varanus griseus","כוח אפור",19,17
"Inland Sands","Secher","Acanthodactylus aegyptius","שנונית מצרית",4,4
"Inland Sands","Secher","Acanthodactylus scutellatus","שנונית חולות",20,13
"Inland Sands","Secher","Cerastes cerastes","עכן חרטומים",1,1
"Inland Sands","Secher","Cerastes vipera","עכן קטן",4,4
"Inland Sands","Secher","Chalcides sepsoides","נחושית חולות",23,18
"Inland Sands","Secher","Chamaeleo chamaeleon","זיקית",4,4
"Inland Sands","Secher","Lytorhynchus diadema","נחש חולות",11,11
"Inland Sands","Secher","Macroprotodon cucullatus","נחש כיפה",3,3
"Inland Sands","Secher","Psammophis schokari","ארבע-קו מובהק",4,3
"Inland Sands","Secher","Scincus scincus","חומט רפואי",11,11
"Inland Sands","Secher","Spalerosophis diadema","מטבעון מדבר",2,2
"Inland Sands","Secher","Stenodactylus petrii","ישימונית רביבים",12,11
"Inland Sands","Secher","Testudo kleinmanni","צב-יבשה מדברי",3,3
