"unit","SciName","heb_name","total.abundance","no.of.surveys.found"
"Coastal Plain Sands","Acanthodactylus aegyptius","שנונית מצרית",5,4
"Coastal Plain Sands","Acanthodactylus boskianus","שנונית נחלים",71,38
"Coastal Plain Sands","Acanthodactylus scutellatus","שנונית חולות",316,98
"Coastal Plain Sands","Chalcides ocellatus","נחושית עינונית",68,63
"Coastal Plain Sands","Chalcides sepsoides","נחושית חולות",187,162
"Coastal Plain Sands","Chamaeleo chamaeleon","זיקית",5,5
"Coastal Plain Sands","Daboia palaestinae","צפע מצוי",47,47
"Coastal Plain Sands","Eryx jaculus","חנק",13,13
"Coastal Plain Sands","Laudakia vulgaris","חרדון מצוי",2,2
"Coastal Plain Sands","Lytorhynchus diadema","נחש חולות",47,46
"Coastal Plain Sands","Macroprotodon cucullatus","נחש כיפה",14,13
"Coastal Plain Sands","Malpolon insignitus","תלום-קשקשים מצוי",2,2
"Coastal Plain Sands","Mediodactylus orientalis","שממית עצים",4,3
"Coastal Plain Sands","Platyceps collaris","זעמן זיתני",1,1
"Coastal Plain Sands","Psammophis schokari","ארבע-קו מובהק",50,44
"Coastal Plain Sands","Spalerosophis diadema","מטבעון מדבר",49,47
"Coastal Plain Sands","Stenodactylus sthenodactylus","ישימונית מצויה",180,166
"Coastal Plain Sands","Testudo graeca","צב-יבשה מצוי",11,11
"Coastal Plain Sands","Varanus griseus","כוח אפור",3,2
"Coastal Plain Sands","Xerotyphlops syriacus","נחשיל מצוי",7,7
"Inland Sands","Acanthodactylus aegyptius","שנונית מצרית",91,30
"Inland Sands","Acanthodactylus scutellatus","שנונית חולות",156,54
"Inland Sands","Cerastes cerastes","עכן חרטומים",15,15
"Inland Sands","Cerastes vipera","עכן קטן",27,25
"Inland Sands","Chalcides ocellatus","נחושית עינונית",5,5
"Inland Sands","Chalcides sepsoides","נחושית חולות",83,71
"Inland Sands","Chamaeleo chamaeleon","זיקית",10,10
"Inland Sands","Lytorhynchus diadema","נחש חולות",43,43
"Inland Sands","Macroprotodon cucullatus","נחש כיפה",6,6
"Inland Sands","Platyceps rogersi","זעמן אוכפים",1,1
"Inland Sands","Psammophis schokari","ארבע-קו מובהק",6,5
"Inland Sands","Scincus scincus","חומט רפואי",38,34
"Inland Sands","Spalerosophis diadema","מטבעון מדבר",10,10
"Inland Sands","Stenodactylus petrii","ישימונית רביבים",65,61
"Inland Sands","Testudo kleinmanni","צב-יבשה מדברי",4,4
"Inland Sands","Trapelus savignii","חרדון חולות",5,5
"Inland Sands","Varanus griseus","כוח אפור",29,26
"Loess Covered Areas in the Northern Negev","Acanthodactylus beershebensis","שנונית באר-שבע",36,10
"Loess Covered Areas in the Northern Negev","Acanthodactylus boskianus","שנונית נחלים",4,1
"Loess Covered Areas in the Northern Negev","Chalcides ocellatus","נחושית עינונית",54,38
"Loess Covered Areas in the Northern Negev","Chalcides sepsoides","נחושית חולות",1,1
"Loess Covered Areas in the Northern Negev","Chamaeleo chamaeleon","זיקית",11,10
"Loess Covered Areas in the Northern Negev","Dolichophis jugularis","זעמן שחור",2,2
"Loess Covered Areas in the Northern Negev","Eirenis coronelloides","שלוון אזורים",1,1
"Loess Covered Areas in the Northern Negev","Eirenis rothii","שלוון טלוא-ראש",1,1
"Loess Covered Areas in the Northern Negev","Eryx jaculus","חנק",1,1
"Loess Covered Areas in the Northern Negev","Eumeces schneiderii","חומט מנומר",3,3
"Loess Covered Areas in the Northern Negev","Hemidactylus turcicus","שממית בתים",15,10
"Loess Covered Areas in the Northern Negev","Heremites vittatus","חומט פסים",36,21
"Loess Covered Areas in the Northern Negev","Laudakia vulgaris","חרדון מצוי",14,10
"Loess Covered Areas in the Northern Negev","Malpolon insignitus","תלום-קשקשים מצוי",4,4
"Loess Covered Areas in the Northern Negev","Mesalina bahaeldini","מדברית עינונית",16,12
"Loess Covered Areas in the Northern Negev","Mesalina olivieri","מדברית פסים",1,1
"Loess Covered Areas in the Northern Negev","Ophisops elegans","עינחש",68,24
"Loess Covered Areas in the Northern Negev","Platyceps rogersi","זעמן אוכפים",1,1
"Loess Covered Areas in the Northern Negev","Psammophis schokari","ארבע-קו מובהק",3,3
"Loess Covered Areas in the Northern Negev","Ptyodactylus guttatus","מניפנית מצויה",5,4
"Loess Covered Areas in the Northern Negev","Stenodactylus sthenodactylus","ישימונית מצויה",2,2
"Loess Covered Areas in the Northern Negev","Trapelus agnetae","חרדון מדבר",2,2
"Loess Covered Areas in the Northern Negev","Varanus griseus","כוח אפור",2,2
"Mediterranean-Desert Transition Zone","Ablepharus rueppellii","חומט גמד",10,10
"Mediterranean-Desert Transition Zone","Chalcides guentheri","נחושית נחשונית",28,19
